phase,query_type,actor,emotion,bucket,approach,rep,stored_name,filesize_bytes,elapsed_seconds,n_files,checksum_ok
write,write,,,audio_small,pure_mongo,0,03-01-01-01-01-01-01_r00.wav,375720,0.047895,1,
write,write,,,audio_small,polyglot,0,03-01-01-01-01-01-01_r00.wav,375720,0.027609,1,
write,write,,,audio_small,pure_mongo,0,03-01-01-01-01-02-01_r00.wav,379106,0.007671,1,
write,write,,,audio_small,polyglot,0,03-01-01-01-01-02-01_r00.wav,379106,0.009749,1,
write,write,,,audio_small,polyglot,0,03-01-01-01-02-01-01_r00.wav,372698,0.009020,1,
write,write,,,audio_small,pure_mongo,0,03-01-01-01-02-01-01_r00.wav,372698,0.006805,1,
write,write,,,audio_small,pure_mongo,0,03-01-01-01-02-02-01_r00.wav,363108,0.007010,1,
write,write,,,audio_small,polyglot,0,03-01-01-01-02-02-01_r00.wav,363108,0.006720,1,
write,write,,,audio_small,polyglot,0,03-01-02-01-01-01-01_r00.wav,399494,0.006252,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-01-01-01-01_r00.wav,399494,0.005559,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-01-01-02-01_r00.wav,751848,0.009665,1,
write,write,,,audio_small,polyglot,0,03-01-02-01-01-02-01_r00.wav,751848,0.009073,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-01-02-01-01_r00.wav,396294,0.006695,1,
write,write,,,audio_small,polyglot,0,03-01-02-01-02-01-01_r00.wav,396294,0.005755,1,
write,write,,,audio_small,polyglot,0,03-01-02-01-02-02-01_r00.wav,393086,0.005203,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-01-02-02-01_r00.wav,393086,0.004176,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-02-01-01-01_r00.wav,415516,0.004515,1,
write,write,,,audio_small,polyglot,0,03-01-02-02-01-01-01_r00.wav,415516,0.005376,1,
write,write,,,audio_small,pure_mongo,0,03-01-02-02-01-02-01_r00.wav,444344,0.004478,1,
write,write,,,audio_small,polyglot,0,03-01-02-02-01-02-01_r00.wav,444344,0.007538,1,
write,write,,,video_medium,pure_mongo,0,01-02-01-01-01-01-07_r00.mp4,5498397,0.044544,1,
write,write,,,video_medium,polyglot,0,01-02-01-01-01-01-07_r00.mp4,5498397,0.048714,1,
write,write,,,video_medium,pure_mongo,0,01-02-01-01-01-02-07_r00.mp4,5457041,0.053792,1,
write,write,,,video_medium,polyglot,0,01-02-01-01-01-02-07_r00.mp4,5457041,0.048257,1,
write,write,,,video_medium,pure_mongo,0,01-02-01-01-02-01-07_r00.mp4,5627582,0.050265,1,
write,write,,,video_medium,polyglot,0,01-02-01-01-02-01-07_r00.mp4,5627582,0.048831,1,
