phase,query_type,bucket,approach,mean_latency_s,median_latency_s,std_latency_s,mean_n_files,total_files,n
query,metadata_only,all,polyglot_pg,0.0003,0.00023,0.00023,27.0,2700,100
query,metadata_only,all,pure_mongo,0.00075,0.00053,0.00066,27.0,2700,100
read,end_to_end,all,polyglot,1.1372,1.02916,0.57153,27.0,2700,100
read,end_to_end,all,pure_mongo,1.1369,0.98327,0.68787,27.0,2700,100
write,write,audio_small,polyglot,0.01336,0.0069,0.02284,1.0,100,100
write,write,audio_small,pure_mongo,0.03026,0.00572,0.20917,1.0,100,100
write,write,video_large,polyglot,0.28785,0.15052,0.45157,1.0,100,100
write,write,video_large,pure_mongo,0.19863,0.12444,0.34856,1.0,100,100
write,write,video_medium,polyglot,0.12441,0.05935,0.32305,1.0,100,100
write,write,video_medium,pure_mongo,0.07425,0.05096,0.2051,1.0,100,100
