bucket,stored_name,filesize_bytes,db,operation,rep,elapsed_seconds
video_medium,.DS_Store_r07,6148,postgres,write,7,0.006341
video_medium,.DS_Store_r07,6148,mongodb,write,7,0.022944
audio_small,03-01-01-01-01-01-01_r03.wav,375720,postgres,write,3,0.018280
audio_small,03-01-01-01-01-01-01_r03.wav,375720,mongodb,write,3,0.005610
video_large,01-02-02-01-02-02-07_r04.mp4,6013033,postgres,write,4,0.214430
video_large,01-02-02-01-02-02-07_r04.mp4,6013033,mongodb,write,4,0.051936
video_large,01-02-02-01-02-02-07_r01.mp4,6013033,postgres,write,1,0.239597
video_large,01-02-02-01-02-02-07_r01.mp4,6013033,mongodb,write,1,0.047657
audio_small,03-01-02-02-01-01-01_r02.wav,415516,postgres,write,2,0.014068
audio_small,03-01-02-02-01-01-01_r02.wav,415516,mongodb,write,2,0.005929
video_medium,4_r09.mp4,1089446,postgres,write,9,0.035105
video_medium,4_r09.mp4,1089446,mongodb,write,9,0.012136
video_medium,1_r05.mp4,1418485,postgres,write,5,0.044857
video_medium,1_r05.mp4,1418485,mongodb,write,5,0.017267
video_large,01-02-02-02-01-02-07_r00.mp4,6330436,postgres,write,0,0.222134
video_large,01-02-02-02-01-02-07_r00.mp4,6330436,mongodb,write,0,0.052481
video_medium,3_r09.mp4,1872188,postgres,write,9,0.079694
video_medium,3_r09.mp4,1872188,mongodb,write,9,0.019003
audio_small,03-01-01-01-02-02-01_r04.wav,363108,postgres,write,4,0.012697
audio_small,03-01-01-01-02-02-01_r04.wav,363108,mongodb,write,4,0.006337
audio_small,03-01-01-01-02-02-01_r00.wav,363108,postgres,write,0,0.015494
audio_small,03-01-01-01-02-02-01_r00.wav,363108,mongodb,write,0,0.006664
video_large,01-02-01-01-01-01-07_r06.mp4,5498397,postgres,write,6,0.177274
video_large,01-02-01-01-01-01-07_r06.mp4,5498397,mongodb,write,6,0.047703
video_large,01-02-01-01-02-02-07_r03.mp4,5619255,postgres,write,3,0.180583
video_large,01-02-01-01-02-02-07_r03.mp4,5619255,mongodb,write,3,0.045092
