hardware_config,phase,bucket,approach,mean,median,std,count
1cpu_1g,query,ALL,mongo_gridfs,0.00217,0.00198,0.00097,100
1cpu_1g,query,ALL,pg_bytea,0.00037,0.00036,6e-05,100
1cpu_1g,query,ALL,polyglot,0.00043,0.00036,0.00064,100
1cpu_1g,read,ALL,mongo_gridfs,0.79251,0.2248,1.20044,100
1cpu_1g,read,ALL,pg_bytea,1.56723,0.42454,2.54564,100
1cpu_1g,read,ALL,polyglot,0.80201,0.23916,1.23223,100
1cpu_1g,write,audio_medium,mongo_gridfs,0.0075,0.00714,0.00185,700
1cpu_1g,write,audio_medium,pg_bytea,0.01942,0.0151,0.04369,700
1cpu_1g,write,audio_medium,polyglot,0.00776,0.00731,0.00284,700
1cpu_1g,write,audio_small,mongo_gridfs,0.00664,0.00526,0.00975,700
1cpu_1g,write,audio_small,pg_bytea,0.01432,0.01061,0.03723,700
1cpu_1g,write,audio_small,polyglot,0.00801,0.00555,0.01786,700
1cpu_1g,write,video_medium,mongo_gridfs,0.17891,0.11398,0.32696,700
1cpu_1g,write,video_medium,pg_bytea,0.48352,0.37312,0.41708,700
1cpu_1g,write,video_medium,polyglot,0.17663,0.11411,0.30707,700
1cpu_1g,write,video_small,mongo_gridfs,0.08894,0.0469,0.269,700
1cpu_1g,write,video_small,pg_bytea,0.20116,0.15397,0.27341,700
1cpu_1g,write,video_small,polyglot,0.07275,0.04728,0.20217,700
2cpu_2g,query,ALL,mongo_gridfs,0.00201,0.0018,0.00076,100
2cpu_2g,query,ALL,pg_bytea,0.00034,0.00033,5e-05,100
2cpu_2g,query,ALL,polyglot,0.0004,0.00033,0.00063,100
2cpu_2g,read,ALL,mongo_gridfs,0.94644,0.31847,1.42539,100
2cpu_2g,read,ALL,pg_bytea,1.97952,0.63187,3.57663,100
2cpu_2g,read,ALL,polyglot,1.00409,0.35359,1.5964,100
2cpu_2g,write,audio_medium,mongo_gridfs,0.00786,0.00721,0.00283,700
2cpu_2g,write,audio_medium,pg_bytea,0.01897,0.01579,0.00866,700
2cpu_2g,write,audio_medium,polyglot,0.00889,0.00743,0.00751,700
2cpu_2g,write,audio_small,mongo_gridfs,0.00666,0.00537,0.00702,700
2cpu_2g,write,audio_small,pg_bytea,0.01521,0.01084,0.04506,700
2cpu_2g,write,audio_small,polyglot,0.01142,0.00571,0.06613,700
2cpu_2g,write,video_medium,mongo_gridfs,0.12155,0.10634,0.05726,700
2cpu_2g,write,video_medium,pg_bytea,0.54063,0.39073,0.47036,700
2cpu_2g,write,video_medium,polyglot,0.13295,0.10694,0.11198,700
2cpu_2g,write,video_small,mongo_gridfs,0.05184,0.04714,0.02061,700
2cpu_2g,write,video_small,pg_bytea,0.22283,0.16234,0.19209,700
2cpu_2g,write,video_small,polyglot,0.06342,0.0481,0.09663,700
4cpu_4g,query,ALL,mongo_gridfs,0.00273,0.00186,0.00673,100
4cpu_4g,query,ALL,pg_bytea,0.00046,0.00036,0.00038,100
4cpu_4g,query,ALL,polyglot,0.00066,0.00035,0.00206,100
4cpu_4g,read,ALL,mongo_gridfs,1.11262,0.32171,1.70093,100
4cpu_4g,read,ALL,pg_bytea,2.02192,0.56911,3.32037,100
4cpu_4g,read,ALL,polyglot,1.25721,0.3572,2.31559,100
4cpu_4g,write,audio_medium,mongo_gridfs,0.00824,0.00752,0.00331,700
4cpu_4g,write,audio_medium,pg_bytea,0.01999,0.01525,0.03272,700
4cpu_4g,write,audio_medium,polyglot,0.01221,0.00876,0.02389,700
4cpu_4g,write,audio_small,mongo_gridfs,0.00648,0.00595,0.00305,700
4cpu_4g,write,audio_small,pg_bytea,0.01321,0.01091,0.01637,700
4cpu_4g,write,audio_small,polyglot,0.0089,0.00704,0.0122,700
4cpu_4g,write,video_medium,mongo_gridfs,0.12267,0.11061,0.04491,700
4cpu_4g,write,video_medium,pg_bytea,0.44083,0.37464,0.17002,700
4cpu_4g,write,video_medium,polyglot,0.17107,0.12016,0.16645,700
4cpu_4g,write,video_small,mongo_gridfs,0.05213,0.04745,0.01941,700
4cpu_4g,write,video_small,pg_bytea,0.18305,0.14779,0.10273,700
4cpu_4g,write,video_small,polyglot,0.07705,0.052,0.09534,700
6cpu_4.5g,query,ALL,mongo_gridfs,0.00244,0.00215,0.00146,100
6cpu_4.5g,query,ALL,pg_bytea,0.0004,0.00037,0.00021,100
6cpu_4.5g,query,ALL,polyglot,0.00046,0.00038,0.00073,100
6cpu_4.5g,read,ALL,mongo_gridfs,1.72421,0.40293,3.34987,100
6cpu_4.5g,read,ALL,pg_bytea,2.64314,0.60684,4.92005,100
6cpu_4.5g,read,ALL,polyglot,1.73955,0.43816,3.25137,100
6cpu_4.5g,write,audio_medium,mongo_gridfs,0.00809,0.00742,0.00306,700
6cpu_4.5g,write,audio_medium,pg_bytea,0.02054,0.01528,0.03484,700
6cpu_4.5g,write,audio_medium,polyglot,0.01225,0.00872,0.03576,700
6cpu_4.5g,write,audio_small,mongo_gridfs,0.00651,0.0057,0.00309,700
6cpu_4.5g,write,audio_small,pg_bytea,0.01446,0.01042,0.03656,700
6cpu_4.5g,write,audio_small,polyglot,0.00948,0.00679,0.01839,700
6cpu_4.5g,write,video_medium,mongo_gridfs,0.11947,0.1094,0.03664,700
6cpu_4.5g,write,video_medium,pg_bytea,0.44187,0.36246,0.2731,700
6cpu_4.5g,write,video_medium,polyglot,0.17965,0.11773,0.21445,700
6cpu_4.5g,write,video_small,mongo_gridfs,0.05344,0.04815,0.02292,700
6cpu_4.5g,write,video_small,pg_bytea,0.18152,0.14362,0.1061,700
6cpu_4.5g,write,video_small,polyglot,0.07412,0.05259,0.07247,700
